,country_code,country_name,total_cases,total_deaths,total_vaccinations,vaccinated_1dose,fully_vacccinated,total_vaccinations_per100,stringency_index
1,USA,United States of America,43401318,696732,398284216,224405446,184909628,120.327,93.52
2,IND,India,33853048,449260,870708636,639614662,231093974,63.095,100
3,BRA,Brazil,21468121,597948,225795545,144532580,85786449,106.227,96.76
4,GBR,The United Kingdom,7934940,136986,93507378,48740807,44652019,137.7,87.96
5,RUS,Russian Federation,7637427,211696,91015787,48535310,42480477,62.368,87.04
6,TUR,Turkey,7267077,64909,110159938,53997429,44910311,130.616,87.04
7,FRA,France,6812172,114574,94771408,50285691,44408729,145.714,87.96
8,IRN,Iran (Islamic Republic of),5638735,121347,51950783,36303822,15646961,61.851,81.48
9,ARG,Argentina,5259738,115245,52083872,29757991,22383999,115.241,100
10,ESP,Spain,4965400,86527,70153507,37702384,36667138,148.214,85.19
11,COL,Colombia,4962054,126401,40404815,26332902,16929789,79.407,90.74
12,ITA,Italy,4683646,131068,85117932,45344433,41156374,142.716,90.74
13,DEU,Germany,4260187,93883,108011215,56663817,53747320,129.873,85.19
14,IDN,Indonesia,4221610,142338,139232210,89201439,50030771,50.903,80.09
15,MEX,Mexico,3681960,278803,100516964,63719420,45284037,77.961,82.41
16,POL,Poland,2912876,75741,37331309,19853542,19500218,98.349,87.04
17,ZAF,South Africa,2906851,87819,17815485,8783265,9032220,30.039,87.96
18,PHL,Philippines,2604040,38828,43088582,26999085,19671725,39.321,100
19,UKR,Ukraine,2469856,57206,12928583,7173268,5755315,29.562,88.89
20,MYS,Malaysia,2285640,26759,41411286,22481986,19180397,127.947,80.56
21,PER,Peru,2178939,199485,26543168,15783055,10760113,80.503,96.3
22,IRQ,Iraq,2011634,22392,7608508,4676216,2932292,18.916,96.3
23,NLD,Netherlands,2009648,18184,23585124,0,0,135.488,82.41
24,JPN,Japan,1705778,17756,159494782,87000853,72493929,126.106,55.09
25,CZE,Czechia,1694910,30483,11821563,6087799,5970250,110.545,82.41
26,CHL,Chile,1657256,37500,32114960,15292547,14142549,167.999,87.5
27,THA,Thailand,1657231,17203,49681430,31582548,18098882,71.177,76.85
28,CAN,Canada,1629142,27921,56290492,29272263,27018229,149.145,90.74
29,BGD,Bangladesh,1559452,27614,48139752,31506017,16633735,29.231,93.52
