"","country_code","country_name","total_cases","total_deaths","total_vaccinations","vaccinated_1dose","fully_vacccinated","total_vaccinations_per100","first_vaccine_date","last_updated_date","stringency"
"1","USA","United States of America",44408612,715179,416110353,233521350,203896677,125.712,2020-12-14,2021-10-15,61.57
"2","IND","India",34081315,452290,951984373,683009792,268974581,68.984,2021-01-16,2021-10-11,54.17
"3","BRA","Brazil",21597949,601574,246737803,151223500,105063574,116.079,2021-01-17,2021-10-15,40.28
"4","GBR","The United Kingdom",8449169,138584,94376101,49186920,45073591,139,2020-12-21,2021-10-12,41.2
"5","RUS","Russian Federation",8027012,224310,94491689,49463056,45028077,64.7,NA,2021-10-13,54.17
"6","TUR","Turkey",7654277,67623,112360409,54497626,46903485,133.2,NA,2021-10-13,58.33
"7","FRA","France",6869661,114924,101500513,54375564,47124949,150.8,2020-12-30,2021-10-10,66.67
"8","IRN","Iran (Islamic Republic of)",5784815,124075,72643522,48474187,24169335,86.488,2021-02-09,2021-10-17,72.69
"9","ARG","Argentina",5268653,115582,55103707,30878639,24392652,121.922,2020-12-29,2021-10-15,42.59
"10","ESP","Spain",4982139,86917,70314445,37819556,32494889,148.6,2020-12-30,2021-10-10,42.13
"11","COL","Colombia",4975656,126726,43881718,28245104,22818571,86.241,2021-02-17,2021-10-15,51.39
"12","ITA","Italy",4717899,131541,85340965,45535455,39802834,143.1,2020-12-23,2021-10-10,71.3
"13","DEU","Germany",4377845,94628,108031313,56995598,51035715,129.9,2020-12-23,2021-10-10,54.63
"14","IDN","Indonesia",4235384,142999,160393612,101673077,58720535,58.64,2021-01-13,2021-10-12,71.76
"15","MEX","Mexico",3738749,283193,108947179,67340974,57571781,84.499,2020-12-24,2021-10-15,35.19
"16","POL","Poland",2941126,76115,37942585,20264484,17555844,100,2020-12-23,2021-10-10,38.89
"17","ZAF","South Africa",2916593,88612,20200231,14097921,10759755,34.059,2021-02-17,2021-10-17,45.37
"18","PHL","Philippines",2720368,40675,48202516,29161418,22650384,43.988,2021-03-01,2021-10-07,74.54
"19","UKR","Ukraine",2644694,60810,13679116,7597392,6081724,31.3,2021-02-24,2021-10-10,58.33
"20","MYS","Malaysia",2390687,27921,44805857,24309648,21004275,138.435,2021-02-24,2021-10-08,59.26
"21","PER","Peru",2186246,199746,30973978,17388054,13585924,93.941,2021-02-09,2021-10-15,66.67
"22","NLD","Netherlands",2047711,18248,22497392,12226740,10270652,129.2,2021-01-06,2021-10-10,45.37
"23","IRQ","Iraq",2035453,22756,8506934,5260678,3246256,21.15,2021-03-02,2021-10-17,75.93
"24","THA","Thailand",1793812,18336,59258667,35462170,23796497,84.898,2021-02-28,2021-10-11,55.09
"25","JPN","Japan",1714720,18103,172127058,92174332,79952726,136.094,2021-02-17,2021-10-07,47.22
"26","CZE","Czechia",1709716,30554,11867179,6107648,5759531,111,2020-12-23,2021-10-10,32.41
"27","CAN","Canada",1670234,28367,57104113,29484916,27619197,151.301,2020-12-14,2021-10-15,68.06
"28","CHL","Chile",1665916,37583,33942329,16066654,14913108,177.558,2020-12-21,2021-10-15,26.39
"29","BGD","Bangladesh",1565488,27768,55213069,36919347,18293722,33.526,2021-01-27,2021-10-11,49.07
"30","ROU","Romania",1467401,42042,10456618,5812513,4644105,54.1,2021-01-27,2021-10-10,55.56
"31","ISR","Israel",1316658,7999,11814585,6147179,5667406,136.5,2020-12-16,2021-10-03,56.48
"32","BEL","Belgium",1279869,25747,16703395,8626712,8076683,145,2020-12-30,2021-10-10,41.67
"33","PAK","Pakistan",1264384,28269,92597193,30164789,34299139,41.92,2021-02-03,2021-10-11,37.5
"34","SWE","Sweden",1161933,14956,13701483,7140804,6560679,132.7,2020-12-23,2021-10-03,19.44
"35","PRT","Portugal",1079806,18097,16104650,8975553,7126357,156.4,2020-12-23,2021-10-10,47.22
"36","SRB","Serbia",1048835,9105,6043997,3085630,2958367,87.3,2020-12-23,2021-10-03,40.74
"37","KAZ","Kazakhstan",996141,16713,13647786,6929350,6718436,72.7,2021-04-28,2021-10-10,66.2
"38","MAR","Morocco",942132,14544,44867769,23236666,20925569,121.558,2021-01-28,2021-10-17,65.74
"39","CUB","Cuba",928684,7994,23628367,9671500,6871192,208.609,NA,2021-10-15,65.28
"40","VNM","Viet Nam",864053,21194,50558288,36901468,13656820,51.941,2021-03-08,2021-10-07,53.24
"41","CHE","Switzerland",851002,10733,10809806,5604427,5205379,124.9,2020-12-23,2021-10-10,46.3
"42","JOR","Jordan",841489,10879,7244287,3826630,3417657,71.001,2021-01-13,2021-10-18,57.41
"43","HUN","Hungary",836389,30402,11341704,5855701,5486003,116.1,2020-12-23,2021-10-10,27.78
"44","NPL","Nepal",805560,11293,14483226,8041594,6441632,49.708,2021-01-27,2021-10-10,46.3
"45","AUT","Austria",772344,10932,10952246,5788154,5164092,123,2020-12-30,2021-10-10,51.85
"46","ARE","United Arab Emirates",738586,2120,20725097,NA,NA,209.548,2020-12-14,2021-10-18,39.35
"47","TUN","Tunisia",710906,25098,8281311,5172620,3956254,70.07,2021-03-13,2021-10-05,28.7
"48","GRC","Greece",693886,15375,12237358,6451036,5786322,114.2,2020-12-23,2021-10-10,49.54
"49","GEO","Georgia",664813,9510,1790050,965971,824079,44.9,2021-03-17,2021-10-10,39.81
"50","LBN","Lebanon",633909,8425,3247459,1769205,1478254,47.579,2021-02-14,2021-10-11,34.26
"51","GTM","Guatemala",583201,14177,7881191,4966834,2914357,43.991,2021-02-25,2021-10-15,49.54
"52","BLR","Belarus",571987,4402,4218130,2468546,1749584,44.6,2021-02-03,2021-10-10,19.44
"53","CRI","Costa Rica",549084,6744,5921089,3525260,2395829,116.234,2020-12-24,2021-10-15,54.63
"54","SAU","Saudi Arabia",547931,8763,44698978,23924621,20774357,128.394,2021-01-06,2021-10-18,55.56
"55","BGR","Bulgaria",540619,22274,2584930,1426913,1158017,37.2,2020-12-30,2021-10-10,47.22
"56","LKA","Sri Lanka",531648,13484,27285321,14731502,12553819,127.423,2021-01-29,2021-10-12,63.89
"57","ECU","Ecuador",512071,32848,21297504,11670616,10412950,120.713,2021-01-21,2021-10-15,58.8
"58","BOL","Bolivia (Plurinational State of)",505157,18811,6931689,4357421,4357256,59.382,2021-01-30,2021-10-08,31.02
"59","AZE","Azerbaijan",502207,6765,8646806,4782922,3863884,85.3,2021-01-20,2021-10-10,60.19
"60","MMR","Myanmar",487853,18359,12172772,8060065,4112707,22.372,2021-01-27,2021-10-02,71.3
"61","PAN","Panama",469569,7275,5630863,3015469,2610560,130.502,2021-01-20,2021-10-15,72.69
"62","PRY","Paraguay",460277,16207,4926677,2868610,2058067,69.073,2021-02-22,2021-10-15,35.19
"63","PSE","occupied Palestinian territory, including east Jerusalem",448322,4585,NA,NA,NA,NA,NA,NA,47.22
