"","country","urbanisation_rate","urbanisation_yearly_change","gdp_per_cap","size","population","density","country_code"
"1","Afghanistan","26.3","3.34",2065,652230,37466414,57.44,"AFG"
"2","Albania","63","1.29",13965,28748,3088385,107.43,"ALB"
"3","Algeria","74.3","1.99",11511,2381740,43576691,18.3,"DZA"
"4","American Samoa","87.2","0.26",11200,224,46366,206.99,"ASM"
"5","Andorra","87.9","0.11",49900,468,85645,183,"AND"
"6","Angola","67.5","4.04",6670,1246700,33642646,26.99,"AGO"
"7","Anguilla","100","0.47",12200,91,18403,202.23,"AIA"
"8","Antigua and Barbuda","24.4","0.87",21910,443,99175,223.87,"ATG"
"9","Argentina","92.2","0.97",22064,2780400,45864941,16.5,"ARG"
"10","Armenia","63.4","0.23",13654,29743,3011609,101.25,"ARM"
"11","Aruba","43.9","0.77",37500,180,120917,671.76,"ABW"
"12","Australia","86.4","1.27",49854,7741220,25809973,3.33,"AUS"
"13","Austria","59","0.68",56188,83871,8884864,105.93,"AUT"
"14","Azerbaijan","56.8","1.38",14404,86600,10282283,118.73,"AZE"
"15","Bahamas, The","83.4","1.02",37101,13880,352655,25.41,"BHS"
"16","Bahrain","89.6","1.99",45011,760,1526929,2009.12,"BHR"
"17","Bangladesh","38.9","2.88",4754,148460,164098818,1105.34,"BGD"
"18","Barbados","31.2","0.46",15639,430,301865,702.01,"BRB"
"19","Belarus","79.9","0.28",19150,207600,9441842,45.48,"BLR"
"20","Belgium","98.1","0.38",51934,30528,11778842,385.84,"BEL"
"21","Belize","46.2","2.3",7005,22966,405633,17.66,"BLZ"
"22","Benin","49","3.74",3287,112622,13301694,118.11,"BEN"
"23","Bermuda","100","-0.2",81798,54,72084,1334.89,"BMU"
"24","Bhutan","43","2.52",11832,38394,857423,22.33,"BTN"
"25","Bolivia","70.5","1.87",8724,1098581,11758869,10.7,"BOL"
"26","Bosnia and Herzegovina","49.4","0.61",14912,51197,3824782,74.71,"BIH"
"27","Botswana","71.6","2.47",17767,581730,2350667,4.04,"BWA"
"28","Brazil","87.3","0.87",14652,8515770,213445417,25.06,"BRA"
"29","British Virgin Islands","48.9","1.73",34200,151,37891,250.93,"VGB"
"30","Brunei","78.6","1.44",62100,5765,471103,81.72,"BRN"
"31","Bulgaria","76","-0.28",23174,110879,6919180,62.4,"BGR"
"32","Burkina Faso","31.2","4.75",2178,274200,21382659,77.98,"BFA"
"33","Burma","31.4","1.85",5142,676578,57069099,84.35,"MMR"
"34","Burundi","14.1","5.43",752,27830,12241065,439.85,"BDI"
"35","Cabo Verde","67.1","1.83",7172,4033,589451,146.16,"CPV"
"36","Cambodia","24.7","3.06",4389,181035,17304363,95.59,"KHM"
"37","Cameroon","58.1","3.43",3642,475440,28524175,60,"CMR"
"38","Canada","81.7","0.95",49031,9984670,37943231,3.8,"CAN"
"39","Cayman Islands","100","1.13",71549,264,63131,239.13,"CYM"
"40","Central African Republic","42.6","3.32",945,622984,5357984,8.6,"CAF"
"41","Chad","23.8","4.1",1580,1284000,17414108,13.56,"TCD"
"42","Chile","87.8","0.78",24226,756102,18307925,24.21,"CHL"
"43","China","62.5","1.78",16117,9596960,1397897720,145.66,"CHN"
"44","Colombia","81.7","1.01",14722,1138910,50355650,44.21,"COL"
"45","Comoros","29.6","2.97",3060,2235,864335,386.73,"COM"
"46","Congo, Democratic Republic of the","46.2","4.33",1098,2344858,105044646,44.8,"COD"
"47","Congo, Republic of the","68.3","3.19",3673,342000,5417414,15.84,"COG"
"48","Cook Islands","75.7","0.52",16700,236,8327,35.28,"COK"
"49","Costa Rica","81.4","1.5",19642,51100,5151140,100.81,"CRI"
