COUNTRY_CODE,COUNTRY_NAME,POPULATION,TOTAL_CASES,TOTAL_DEATHS,TOTAL_VACCINATIONS,ONE_DOSE_VACCINATED,FULLY_VACCINATED,FIRST_VACCINE_DATE,LAST_UPDATED_DATE,STRINGENCY_INDEX,URBANISATION_RATE,URBANISATION_YEARLY_CHANGE,GDP_PER_CAP,DENSITY,AVG_TEMPARATURE,PRECIPITATION,INFECTION_RATE_PER_1000,DEATHS_PER_1000,TOTAL_VACCINATIONS_PER_1000,OECD_COUNTRY
USA,United States of America,334998398,44408612,715179,416110353,233521350,203896677,2020-12-14,2021-10-15,61.57,82.9,0.96,62530,34.07,10.47,2.99,132.56,2.13,1242,Yes
IND,India,1339330514,34081315,452290,951984373,683009792,268974581,2021-01-16,2021-10-11,54.17,35.4,2.33,6700,407.43,26.99,11.19,25.45,0.34,711,No
BRA,Brazil,213445417,21597949,601574,246737803,151223500,105063574,2021-01-17,2021-10-15,40.28,87.3,0.87,14652,25.06,24.47,6.04,101.19,2.82,1156,No
GBR,The United Kingdom,67081000,8449169,138584,94376101,49186920,45073591,2020-12-21,2021-10-12,41.2,84.2,0.8,46659,275.36,10.14,2.35,125.95,2.07,1407,Yes
RUS,Russian Federation,142320790,8027012,224310,94491689,49463056,45028077,NA,2021-10-13,54.17,74.9,0.11,27044,8.32,2.01,1.62,56.4,1.58,664,No
TUR,Turkey,82482383,7654277,67623,112360409,54497626,46903485,NA,2021-10-13,58.33,76.6,1.11,28424,105.27,17.05,2.68,92.8,0.82,1362,Yes
FRA,France,68084217,6869661,114924,101500513,54375564,47124949,2020-12-30,2021-10-10,66.67,81.2,0.67,46184,105.75,13.12,1.94,100.9,1.69,1491,Yes
IRN,Iran (Islamic Republic of),85888910,5784815,124075,72643522,48474187,24169335,2021-02-09,2021-10-17,72.69,76.3,1.32,12389,52.11,21.77,0.35,67.35,1.44,846,No
ARG,Argentina,45864941,5268653,115582,55103707,30878639,24392652,2020-12-29,2021-10-15,42.59,92.2,0.97,22064,16.5,15.67,6.17,114.87,2.52,1201,No
ESP,Spain,47260584,4982139,86917,70314445,37819556,32494889,2020-12-30,2021-10-10,42.13,81.1,0.24,40903,93.52,16.95,1.51,105.42,1.84,1488,Yes
COL,Colombia,50355650,4975656,126726,43881718,28245104,22818571,2021-02-17,2021-10-15,51.39,81.7,1.01,14722,44.21,NA,NA,98.81,2.52,871,Yes
ITA,Italy,62390364,4717899,131541,85340965,45535455,39802834,2020-12-23,2021-10-10,71.3,71.3,0.27,42492,207.04,15.49,1.31,75.62,2.11,1368,Yes
DEU,Germany,79903481,4377845,94628,108031313,56995598,51035715,2020-12-23,2021-10-10,54.63,77.5,0.13,53919,223.81,11.38,1.98,54.79,1.18,1352,Yes
IDN,Indonesia,275122131,4235384,142999,160393612,101673077,58720535,2021-01-13,2021-10-12,71.76,57.3,1.99,11812,144.45,27.14,15.03,15.39,0.52,583,No
MEX,Mexico,130207371,3738749,283193,108947179,67340974,57571781,2020-12-24,2021-10-15,35.19,81,1.4,19796,66.28,23.9,2.4,28.71,2.17,837,Yes
POL,Poland,38185913,2941126,76115,37942585,20264484,17555844,2020-12-23,2021-10-10,38.89,60.1,-0.16,33221,122.12,10.11,2.59,77.02,1.99,994,Yes
ZAF,South Africa,56978635,2916593,88612,20200231,14097921,10759755,2021-02-17,2021-10-17,45.37,67.8,1.72,12482,46.74,15.95,4.59,51.19,1.56,355,No
PHL,Philippines,110818325,2720368,40675,48202516,29161418,22650384,2021-03-01,2021-10-07,74.54,47.7,2.04,8908,369.39,27.25,10.57,24.55,0.37,435,No
UKR,Ukraine,43745640,2644694,60810,13679116,7597392,6081724,2021-02-24,2021-10-10,58.33,69.8,-0.27,12810,72.48,12.03,4.43,60.46,1.39,313,No
