country_code,country_name,population,total_cases,total_deaths,total_vaccinations,vaccinated_1dose,fully_vacccinated,first_vaccine_date,last_updated_date,stringency_index,urbanisation_rate,urbanisation_yearly_change,gdp_per_cap,density,tavg,prcp,Infection_Rate_per_100,Deaths_per_10000,total_vaccinations_per_100
USA,United States of America,334998398,43792254,703599,407615184,229155687,186883154,2020-12-14,2021-10-08,93.52,82.9,0.96,62530,34.07,10.465130621916195,2.9928506898665512,13.07,21,123
IND,India,1339330514,33971607,450782,915465826,663807388,251658438,2021-01-16,2021-10-05,100,35.4,2.33,6700,407.43,26.987921936264428,11.186954073835471,2.54,3.37,66
BRA,Brazil,213445417,21516967,599359,235087603,147951632,91654941,2021-01-17,2021-10-08,96.76,87.3,0.87,14652,25.06,24.467521206408996,6.0399091152098245,10.08,28.08,111
GBR,The United Kingdom,67081000,8154310,137735,93948903,48956859,44877400,2020-12-21,2021-10-05,87.96,84.2,0.8,46659,275.36,10.143019062339055,2.3482624649254245,12.16,20.53,138
RUS,Russian Federation,142320790,7804774,217372,91151285,48610971,42539895,NA,2021-10-06,87.04,74.9,0.11,27044,8.32,2.0074819390339225,1.6211117551485135,5.48,15.27,62
TUR,Turkey,82482383,7444552,66180,110333793,54038516,45664544,NA,2021-10-06,87.04,76.6,1.11,28424,105.27,17.04655245049862,2.675625958099168,9.03,8.02,131
FRA,France,68084217,6839116,114752,99778835,53175914,46602921,2020-12-30,2021-10-03,87.96,81.2,0.67,46184,105.75,13.121910407049839,1.936870270270505,10.05,16.85,148
IRN,Iran (Islamic Republic of),85888910,5702890,122592,57676540,40961153,16715387,2021-02-09,2021-10-03,81.48,76.3,1.32,12389,52.11,21.76891395592859,0.3527171017581273,6.64,14.27,69
ARG,Argentina,45864941,5263219,115379,53660061,30172069,23562958,2020-12-29,2021-10-08,100,92.2,0.97,22064,16.5,15.66605890603083,6.173855488141221,11.48,25.16,119
ESP,Spain,47260584,4971311,86701,69873431,37665050,32208381,2020-12-30,2021-10-03,85.19,81.1,0.24,40903,93.52,16.945987961514703,1.5137821818017416,10.52,18.35,148
COL,Colombia,50355650,4965847,126487,42039612,27422661,17865559,2021-02-17,2021-10-08,90.74,81.7,1.01,14722,44.21,NA,NA,9.86,25.12,83
ITA,Italy,62390364,4700316,131301,84477425,45153691,39321065,2020-12-23,2021-10-03,90.74,71.3,0.27,42492,207.04,15.492707853788742,1.3125481231953566,7.53,21.05,142
DEU,Germany,79903481,4313384,94209,107263138,56684338,50578800,2020-12-23,2021-10-03,85.19,77.5,0.13,53919,223.81,11.382240392477575,1.9819343507752594,5.4,11.79,129
IDN,Indonesia,275122131,4228552,142716,149307298,95313545,53993753,2021-01-13,2021-10-05,80.09,57.3,1.99,11812,144.45,27.135059835452754,15.029919137466313,1.54,5.19,55
MEX,Mexico,130207371,3699621,280610,105320232,65879194,46986802,2020-12-24,2021-10-08,82.41,81,1.4,19796,66.28,23.898836237381868,2.402958311265842,2.84,21.55,82
POL,Poland,38185913,2923304,75869,35982751,19181203,16723811,2020-12-23,2021-10-03,87.04,60.1,-0.16,33221,122.12,10.107132075471705,2.591371045062325,7.66,19.87,95
ZAF,South Africa,56978635,2912145,88317,17815485,8783265,9032220,2021-02-17,2021-10-08,87.96,67.8,1.72,12482,46.74,15.954569780081874,4.589043258604247,5.11,15.5,30
PHL,Philippines,110818325,2666562,39624,45601096,27836530,21358676,2021-03-01,2021-09-30,100,47.7,2.04,8908,369.39,27.248590947907694,10.573148549155535,2.41,3.58,42
UKR,Ukraine,43745640,2550089,58700,12955793,7238213,5717580,2021-02-24,2021-10-03,88.89,69.8,-0.27,12810,72.48,12.032387757278416,4.428423326133859,5.83,13.42,30
MYS,Malaysia,33519406,2339594,27329,43462346,23540977,20255398,2021-02-24,2021-10-01,80.56,77.7,1.87,28364,101.62,27.322864620509126,8.538090881366351,6.98,8.15,134
PER,Peru,32201224,2181183,199559,28869688,16575552,12294136,2021-02-09,2021-10-08,96.3,78.3,1.33,12848,25.06,21.805298129043425,6.478914728682187,6.77,61.97,88
IRQ,Iraq,39650145,2023761,22563,7608508,4676216,2932292,2021-03-02,2021-09-26,96.3,71.1,2.91,10881,90.46,28.87688442211054,0.16879432624113475,5.1,5.69,19
NLD,Netherlands,17337403,2023691,18204,22425859,12195486,10230373,2021-01-06,2021-10-03,82.41,92.6,0.59,56935,417.34,11.273564954682785,1.9012894428363623,11.67,10.5,129
THA,Thailand,69480520,1720919,17751,55101803,33505887,21595916,2021-02-28,2021-10-05,76.85,52.2,1.43,18460,135.41,28.262358887952725,9.406374119154844,2.48,2.55,79
JPN,Japan,124687293,1710973,17941,164859014,89154655,75704359,2021-02-17,2021-09-30,55.09,91.9,-0.25,41429,329.93,16.73802079322311,6.534532847151483,1.37,1.44,130
CZE,Czechia,10702596,1700078,30504,11821431,6087371,5734058,2020-12-23,2021-10-03,82.41,74.2,0.2,40862,135.7,9.15392795883361,3.1341272662637167,15.88,28.5,110
CHL,Chile,18307925,1659386,37533,33194071,15848547,14207498,2020-12-21,2021-10-08,87.5,87.8,0.78,24226,24.21,13.239527960875991,1.3578514339445138,9.06,20.5,174
CAN,Canada,37943231,1647153,28112,56272939,29091447,27187246,2020-12-14,2021-10-08,90.74,81.7,0.95,49031,3.8,5.714755645712324,2.0914762964675133,4.34,7.41,149
BGD,Bangladesh,164098818,1562958,27699,52443572,34976007,17467565,2021-01-27,2021-10-05,93.52,38.9,2.88,4754,1105.34,24.96075388026608,0,0.95,1.69,32
ROU,Romania,21230362,1365788,39629,10107562,5505347,4602215,2021-01-27,2021-09-26,87.04,54.3,-0.15,29941,89.06,11.96814016172507,2.181590656284738,6.43,18.67,52
ISR,Israel,8787045,1306035,7920,11814386,6146329,5668057,2020-12-16,2021-10-03,94.44,92.7,1.51,41953,400.56,22.267019667170967,1.1897959183673463,14.86,9.01,136
BEL,Belgium,11778842,1261102,25675,16642782,8597464,8045318,2020-12-30,2021-10-03,81.48,98.1,0.38,51934,385.84,11.743396226415092,2.971482889733837,10.71,21.8,144
PAK,Pakistan,238181034,1257955,28106,85084351,30058659,30643722,2021-02-03,2021-10-04,96.3,37.4,2.1,4690,299.19,25.307608005082336,4.769159142212192,0.53,1.18,39
SWE,Sweden,10261767,1157822,14905,13319778,6899168,6420610,2020-12-23,2021-10-03,69.44,88.2,0.89,53240,22.79,7.0276708191770645,1.4231181742495713,11.28,14.52,129
PRT,Portugal,10263850,1075312,18041,16042366,8957752,7082109,2020-12-23,2021-10-03,87.96,66.8,0.44,34894,111.45,17.856850665352358,3.212646608873007,10.48,17.58,156
SRB,Serbia,6974289,1005168,8737,6043997,3085630,2958367,2020-12-23,2021-10-03,100,56.7,0.04,18233,90.02,14.77835443037976,1.7838254172015415,14.41,12.53,87
KAZ,Kazakhstan,19245793,982888,16473,13742340,6787635,6954705,2021-04-28,2021-10-03,92.13,57.8,1.19,26351,7.06,10.801846222288109,12.85333333333333,5.11,8.56,73
MAR,Morocco,36561813,939187,14457,43122611,23023859,20098752,2021-01-28,2021-10-09,93.52,64.1,1.88,7515,51.02,19.620953294945643,1.1964425162689953,2.57,3.95,117
CUB,Cuba,11032343,907941,7742,22116160,9571923,6938192,NA,2021-10-08,100,77.3,0.19,12300,99.52,27.39402985074628,5.454545454545456,8.23,7.02,195
CHE,Switzerland,8453550,844851,10684,10615304,5550003,5065301,2020-12-23,2021-10-03,73.15,74,0.79,68628,204.8,9.216407236011765,4.530155544405402,9.99,12.64,123
VNM,Viet Nam,102789598,839662,20555,42888157,33069709,9818448,2021-03-08,2021-10-01,96.3,38.1,2.7,8041,310.35,26.407007575757675,5.628885245901595,0.82,2,44
JOR,Jordan,10909567,833471,10811,7137487,3776430,3361057,2021-01-13,2021-10-09,100,91.6,0.98,10071,122.11,23.814734299516914,1.4423076923076914,7.64,9.91,70
HUN,Hungary,9728337,829456,30303,11305529,5840528,5465001,2020-12-23,2021-10-03,79.63,72.2,0.05,32945,104.57,13.274242424242432,1.7010752688172115,8.53,31.15,116
NPL,Nepal,30424878,802861,11243,14322751,7913555,6409196,2021-01-27,2021-10-05,97.22,21,3.09,3417,206.72,20.8378151260504,5.297858672376883,2.64,3.7,49
AUT,Austria,8884864,757583,10853,10874820,5752235,5122585,2020-12-30,2021-10-03,82.41,59,0.68,56188,105.93,9.044439781787677,9.514210526315814,8.53,12.22,122
ARE,United Arab Emirates,9856612,737766,2113,20475211,NA,NA,2020-12-14,2021-10-10,89.81,87.3,1.5,67119,117.9,30.60947867298582,0,7.48,2.14,207
TUN,Tunisia,11811335,709834,25028,8281311,5172620,3956254,2021-03-13,2021-10-05,90.74,69.9,1.34,10756,72.19,22.173181818181835,0.4585040071237745,6.01,21.19,70
GRC,Greece,10569703,676799,15135,12120544,6412477,5708067,2020-12-23,2021-10-03,88.89,80,0.11,29799,80.1,19.630959634424944,0.9884251290877843,6.4,14.32,113
GEO,Georgia,4933674,635583,9269,1733693,954748,778945,2021-03-17,2021-10-03,100,59.9,0.35,14992,70.78,15.382858358145487,2.023102310231029,12.88,18.79,44
