"","country_name","urban_rate","rate_urbanisation_per_year"
"1","Afghanistan","26.3","3.34"
"2","Albania","63","1.29"
"3","Algeria","74.3","1.99"
"4","American Samoa","87.2","0.26"
"5","Andorra","87.9","0.11"
"6","Angola","67.5","4.04"
"7","Anguilla","100","0.47"
"8","Antigua and Barbuda","24.4","0.87"
"9","Argentina","92.2","0.97"
"10","Armenia","63.4","0.23"
"11","Aruba","43.9","0.77"
"12","Australia","86.4","1.27"
"13","Austria","59","0.68"
"14","Azerbaijan","56.8","1.38"
"15","Bahamas, The","83.4","1.02"
"16","Bahrain","89.6","1.99"
"17","Bangladesh","38.9","2.88"
"18","Barbados","31.2","0.46"
"19","Belarus","79.9","0.28"
"20","Belgium","98.1","0.38"
"21","Belize","46.2","2.3"
"22","Benin","49","3.74"
"23","Bermuda","100","-0.2"
"24","Bhutan","43","2.52"
"25","Bolivia","70.5","1.87"
"26","Bosnia and Herzegovina","49.4","0.61"
"27","Botswana","71.6","2.47"
"28","Brazil","87.3","0.87"
"29","British Virgin Islands","48.9","1.73"
"30","Brunei","78.6","1.44"
"31","Bulgaria","76","-0.28"
"32","Burkina Faso","31.2","4.75"
"33","Burma","31.4","1.85"
"34","Burundi","14.1","5.43"
"35","Cabo Verde","67.1","1.83"
"36","Cambodia","24.7","3.06"
"37","Cameroon","58.1","3.43"
"38","Canada","81.7","0.95"
"39","Cayman Islands","100","1.13"
"40","Central African Republic","42.6","3.32"
"41","Chad","23.8","4.1"
"42","Chile","87.8","0.78"
"43","China","62.5","1.78"
"44","Colombia","81.7","1.01"
"45","Comoros","29.6","2.97"
"46","Congo, Democratic Republic of the","46.2","4.33"
"47","Congo, Republic of the","68.3","3.19"
"48","Cook Islands","75.7","0.52"
"49","Costa Rica","81.4","1.5"
"50","Cote d'Ivoire","52.2","3.38"
"51","Croatia","57.9","0.05"
"52","Cuba","77.3","0.19"
"53","Curacao","89.1","0.57"
"54","Cyprus","66.9","0.76"
"55","Czechia","74.2","0.2"
"56","Denmark","88.2","0.54"
"57","Djibouti","78.2","1.56"
"58","Dominica","71.4","0.84"
"59","Dominican Republic","83.2","1.64"
"60","Ecuador","64.4","1.62"
"61","Egypt","42.9","1.9"
"62","El Salvador","74.1","1.33"
"63","Equatorial Guinea","73.6","3.62"
"64","Eritrea","42","3.67"
"65","Estonia","69.4","-0.03"
"66","Eswatini","24.4","2.42"
"67","Ethiopia","22.2","4.4"
"68","Falkland Islands (Islas Malvinas)","78.9","0.53"
"69","Faroe Islands","42.6","0.89"
"70","Fiji","57.7","1.37"
"71","Finland","85.6","0.42"
"72","France","81.2","0.67"
"73","French Polynesia","62.1","0.65"
"74","Gabon","90.4","2.27"
"75","Gambia, The","63.2","3.75"
"76","Gaza Strip","77","2.85"
"77","Georgia","59.9","0.35"
"78","Germany","77.5","0.13"
"79","Ghana","58","3.06"
"80","Gibraltar","100","0.45"
"81","Greece","80","0.11"
"82","Greenland","87.5","0.41"
"83","Grenada","36.7","0.86"
"84","Guam","95","0.84"
"85","Guatemala","52.2","2.59"
"86","Guernsey","31","0.68"
"87","Guinea","37.3","3.64"
"88","Guinea-Bissau","44.6","3.22"
"89","Guyana","26.9","1.01"
"90","Haiti","58","2.47"
"91","Holy See (Vatican City)","100","0"
"92","Honduras","59","2.48"
"93","Hong Kong","100","0.58"
"94","Hungary","72.2","0.05"
"95","Iceland","93.9","0.74"
"96","India","35.4","2.33"
"97","Indonesia","57.3","1.99"
"98","Iran","76.3","1.32"
"99","Iraq","71.1","2.91"
"100","Ireland","63.9","1.15"
"101","Isle of Man","53.1","0.97"
"102","Israel","92.7","1.51"
"103","Italy","71.3","0.27"
"104","Jamaica","56.7","0.79"
"105","Japan","91.9","-0.25"
"106","Jersey","31","0.68"
